Planning Area,Subzone,Age Group,Floor Area,2024
Pasir Ris,Flora Drive,25 - 29,> 80 - 100,120
Pasir Ris,Flora Drive,25 - 29,> 100 - 120,200
Pasir Ris,Flora Drive,25 - 29,> 120,650
Pasir Ris,Flora Drive,30 - 34,Total*,1050
Pasir Ris,Flora Drive,30 - 34,≤ 60,100
Pasir Ris,Flora Drive,30 - 34,> 60 - 80,150
Pasir Ris,Flora Drive,30 - 34,> 80 - 100,170
Pasir Ris,Flora Drive,30 - 34,> 100 - 120,130
Pasir Ris,Flora Drive,30 - 34,> 120,500
Pasir Ris,Flora Drive,35 - 39,Total*,1150
Pasir Ris,Flora Drive,35 - 39,≤ 60,120
Pasir Ris,Flora Drive,35 - 39,> 60 - 80,200
Pasir Ris,Flora Drive,35 - 39,> 80 - 100,280
Pasir Ris,Flora Drive,35 - 39,> 100 - 120,160
Pasir Ris,Flora Drive,35 - 39,> 120,400
Pasir Ris,Flora Drive,40 - 44,Total*,1240
Pasir Ris,Flora Drive,40 - 44,≤ 60,100
Pasir Ris,Flora Drive,40 - 44,> 60 - 80,170
Pasir Ris,Flora Drive,40 - 44,> 80 - 100,310
Pasir Ris,Flora Drive,40 - 44,> 100 - 120,200
Pasir Ris,Flora Drive,40 - 44,> 120,470
Pasir Ris,Flora Drive,45 - 49,Total*,1450
Pasir Ris,Flora Drive,45 - 49,≤ 60,80
Pasir Ris,Flora Drive,45 - 49,> 60 - 80,150
Pasir Ris,Flora Drive,45 - 49,> 80 - 100,350
Pasir Ris,Flora Drive,45 - 49,> 100 - 120,260
Pasir Ris,Flora Drive,45 - 49,> 120,610
Pasir Ris,Flora Drive,50 - 54,Total*,1430
Pasir Ris,Flora Drive,50 - 54,≤ 60,40
Pasir Ris,Flora Drive,50 - 54,> 60 - 80,90
Pasir Ris,Flora Drive,50 - 54,> 80 - 100,270
Pasir Ris,Flora Drive,50 - 54,> 100 - 120,270
Pasir Ris,Flora Drive,50 - 54,> 120,760
Pasir Ris,Flora Drive,55 - 59,Total*,1240
Pasir Ris,Flora Drive,55 - 59,≤ 60,30
Pasir Ris,Flora Drive,55 - 59,> 60 - 80,50
Pasir Ris,Flora Drive,55 - 59,> 80 - 100,210
Pasir Ris,Flora Drive,55 - 59,> 100 - 120,250
Pasir Ris,Flora Drive,55 - 59,> 120,700
Pasir Ris,Flora Drive,60 - 64,Total*,1130
Pasir Ris,Flora Drive,60 - 64,≤ 60,20
Pasir Ris,Flora Drive,60 - 64,> 60 - 80,50
Pasir Ris,Flora Drive,60 - 64,> 80 - 100,150
Pasir Ris,Flora Drive,60 - 64,> 100 - 120,210
Pasir Ris,Flora Drive,60 - 64,> 120,690
Pasir Ris,Flora Drive,65 - 69,Total*,950
Pasir Ris,Flora Drive,65 - 69,≤ 60,20
Pasir Ris,Flora Drive,65 - 69,> 60 - 80,30
Pasir Ris,Flora Drive,65 - 69,> 80 - 100,120
Pasir Ris,Flora Drive,65 - 69,> 100 - 120,140
Pasir Ris,Flora Drive,65 - 69,> 120,610
Pasir Ris,Flora Drive,70 - 74,Total*,580
Pasir Ris,Flora Drive,70 - 74,≤ 60,10
Pasir Ris,Flora Drive,70 - 74,> 60 - 80,20
Pasir Ris,Flora Drive,70 - 74,> 80 - 100,50
Pasir Ris,Flora Drive,70 - 74,> 100 - 120,90
Pasir Ris,Flora Drive,70 - 74,> 120,360
Pasir Ris,Flora Drive,75 - 79,Total*,400
Pasir Ris,Flora Drive,75 - 79,≤ 60,-
Pasir Ris,Flora Drive,75 - 79,> 60 - 80,10
Pasir Ris,Flora Drive,75 - 79,> 80 - 100,40
Pasir Ris,Flora Drive,75 - 79,> 100 - 120,60
Pasir Ris,Flora Drive,75 - 79,> 120,250
Pasir Ris,Flora Drive,80 - 84,Total*,250
Pasir Ris,Flora Drive,80 - 84,≤ 60,-
Pasir Ris,Flora Drive,80 - 84,> 60 - 80,-
Pasir Ris,Flora Drive,80 - 84,> 80 - 100,20
Pasir Ris,Flora Drive,80 - 84,> 100 - 120,30
Pasir Ris,Flora Drive,80 - 84,> 120,130
Pasir Ris,Flora Drive,85 - 89,Total*,140
Pasir Ris,Flora Drive,85 - 89,≤ 60,-
Pasir Ris,Flora Drive,85 - 89,> 60 - 80,-
Pasir Ris,Flora Drive,85 - 89,> 80 - 100,10
Pasir Ris,Flora Drive,85 - 89,> 100 - 120,10
Pasir Ris,Flora Drive,85 - 89,> 120,80
Pasir Ris,Flora Drive,90 & Over,Total*,80
Pasir Ris,Flora Drive,90 & Over,≤ 60,-
Pasir Ris,Flora Drive,90 & Over,> 60 - 80,-
Pasir Ris,Flora Drive,90 & Over,> 80 - 100,10
Pasir Ris,Flora Drive,90 & Over,> 100 - 120,-
Pasir Ris,Flora Drive,90 & Over,> 120,40
Pasir Ris,Loyang East,Total,Total*,2050
Pasir Ris,Loyang East,Total,≤ 60,-
Pasir Ris,Loyang East,Total,> 60 - 80,-
Pasir Ris,Loyang East,Total,> 80 - 100,50
Pasir Ris,Loyang East,Total,> 100 - 120,-
Pasir Ris,Loyang East,Total,> 120,1960
Pasir Ris,Loyang East,0 - 4,Total*,40
Pasir Ris,Loyang East,0 - 4,≤ 60,-
Pasir Ris,Loyang East,0 - 4,> 60 - 80,-
Pasir Ris,Loyang East,0 - 4,> 80 - 100,-
Pasir Ris,Loyang East,0 - 4,> 100 - 120,-
Pasir Ris,Loyang East,0 - 4,> 120,40
Pasir Ris,Loyang East,5 - 9,Total*,70
Pasir Ris,Loyang East,5 - 9,≤ 60,-
Pasir Ris,Loyang East,5 - 9,> 60 - 80,-
Pasir Ris,Loyang East,5 - 9,> 80 - 100,-
Pasir Ris,Loyang East,5 - 9,> 100 - 120,-
Pasir Ris,Loyang East,5 - 9,> 120,70
Pasir Ris,Loyang East,10 - 14,Total*,80
Pasir Ris,Loyang East,10 - 14,≤ 60,-
Pasir Ris,Loyang East,10 - 14,> 60 - 80,-
Pasir Ris,Loyang East,10 - 14,> 80 - 100,-
Pasir Ris,Loyang East,10 - 14,> 100 - 120,-
Pasir Ris,Loyang East,10 - 14,> 120,70
Pasir Ris,Loyang East,15 - 19,Total*,110
Pasir Ris,Loyang East,15 - 19,≤ 60,-
Pasir Ris,Loyang East,15 - 19,> 60 - 80,-
Pasir Ris,Loyang East,15 - 19,> 80 - 100,-
Pasir Ris,Loyang East,15 - 19,> 100 - 120,-
Pasir Ris,Loyang East,15 - 19,> 120,110
Pasir Ris,Loyang East,20 - 24,Total*,140
Pasir Ris,Loyang East,20 - 24,≤ 60,-
Pasir Ris,Loyang East,20 - 24,> 60 - 80,-
Pasir Ris,Loyang East,20 - 24,> 80 - 100,-
Pasir Ris,Loyang East,20 - 24,> 100 - 120,-
Pasir Ris,Loyang East,20 - 24,> 120,130
Pasir Ris,Loyang East,25 - 29,Total*,160
Pasir Ris,Loyang East,25 - 29,≤ 60,-
Pasir Ris,Loyang East,25 - 29,> 60 - 80,-
Pasir Ris,Loyang East,25 - 29,> 80 - 100,10
Pasir Ris,Loyang East,25 - 29,> 100 - 120,-
Pasir Ris,Loyang East,25 - 29,> 120,150
Pasir Ris,Loyang East,30 - 34,Total*,130
Pasir Ris,Loyang East,30 - 34,≤ 60,-
Pasir Ris,Loyang East,30 - 34,> 60 - 80,-
Pasir Ris,Loyang East,30 - 34,> 80 - 100,-
Pasir Ris,Loyang East,30 - 34,> 100 - 120,-
Pasir Ris,Loyang East,30 - 34,> 120,120
Pasir Ris,Loyang East,35 - 39,Total*,80
Pasir Ris,Loyang East,35 - 39,≤ 60,-
Pasir Ris,Loyang East,35 - 39,> 60 - 80,-
Pasir Ris,Loyang East,35 - 39,> 80 - 100,-
Pasir Ris,Loyang East,35 - 39,> 100 - 120,-
Pasir Ris,Loyang East,35 - 39,> 120,80
Pasir Ris,Loyang East,40 - 44,Total*,110
Pasir Ris,Loyang East,40 - 44,≤ 60,-
Pasir Ris,Loyang East,40 - 44,> 60 - 80,-
Pasir Ris,Loyang East,40 - 44,> 80 - 100,-
Pasir Ris,Loyang East,40 - 44,> 100 - 120,-
Pasir Ris,Loyang East,40 - 44,> 120,100
Pasir Ris,Loyang East,45 - 49,Total*,140
Pasir Ris,Loyang East,45 - 49,≤ 60,-
Pasir Ris,Loyang East,45 - 49,> 60 - 80,-
Pasir Ris,Loyang East,45 - 49,> 80 - 100,-
Pasir Ris,Loyang East,45 - 49,> 100 - 120,-
Pasir Ris,Loyang East,45 - 49,> 120,130
Pasir Ris,Loyang East,50 - 54,Total*,170
Pasir Ris,Loyang East,50 - 54,≤ 60,-
Pasir Ris,Loyang East,50 - 54,> 60 - 80,-
Pasir Ris,Loyang East,50 - 54,> 80 - 100,-
Pasir Ris,Loyang East,50 - 54,> 100 - 120,-
Pasir Ris,Loyang East,50 - 54,> 120,150
Pasir Ris,Loyang East,55 - 59,Total*,160
Pasir Ris,Loyang East,55 - 59,≤ 60,-
Pasir Ris,Loyang East,55 - 59,> 60 - 80,-
Pasir Ris,Loyang East,55 - 59,> 80 - 100,-
Pasir Ris,Loyang East,55 - 59,> 100 - 120,-
Pasir Ris,Loyang East,55 - 59,> 120,160
Pasir Ris,Loyang East,60 - 64,Total*,200
Pasir Ris,Loyang East,60 - 64,≤ 60,-
Pasir Ris,Loyang East,60 - 64,> 60 - 80,-
Pasir Ris,Loyang East,60 - 64,> 80 - 100,10
Pasir Ris,Loyang East,60 - 64,> 100 - 120,-
Pasir Ris,Loyang East,60 - 64,> 120,190
Pasir Ris,Loyang East,65 - 69,Total*,180
Pasir Ris,Loyang East,65 - 69,≤ 60,-
Pasir Ris,Loyang East,65 - 69,> 60 - 80,-
Pasir Ris,Loyang East,65 - 69,> 80 - 100,10
Pasir Ris,Loyang East,65 - 69,> 100 - 120,-
Pasir Ris,Loyang East,65 - 69,> 120,170
Pasir Ris,Loyang East,70 - 74,Total*,140
Pasir Ris,Loyang East,70 - 74,≤ 60,-
Pasir Ris,Loyang East,70 - 74,> 60 - 80,-
Pasir Ris,Loyang East,70 - 74,> 80 - 100,-
Pasir Ris,Loyang East,70 - 74,> 100 - 120,-
Pasir Ris,Loyang East,70 - 74,> 120,140
Pasir Ris,Loyang East,75 - 79,Total*,70
Pasir Ris,Loyang East,75 - 79,≤ 60,-
Pasir Ris,Loyang East,75 - 79,> 60 - 80,-
Pasir Ris,Loyang East,75 - 79,> 80 - 100,-
Pasir Ris,Loyang East,75 - 79,> 100 - 120,-
Pasir Ris,Loyang East,75 - 79,> 120,70
Pasir Ris,Loyang East,80 - 84,Total*,30
Pasir Ris,Loyang East,80 - 84,≤ 60,-
Pasir Ris,Loyang East,80 - 84,> 60 - 80,-
Pasir Ris,Loyang East,80 - 84,> 80 - 100,-
Pasir Ris,Loyang East,80 - 84,> 100 - 120,-
Pasir Ris,Loyang East,80 - 84,> 120,30
Pasir Ris,Loyang East,85 - 89,Total*,20
Pasir Ris,Loyang East,85 - 89,≤ 60,-
Pasir Ris,Loyang East,85 - 89,> 60 - 80,-
Pasir Ris,Loyang East,85 - 89,> 80 - 100,-
Pasir Ris,Loyang East,85 - 89,> 100 - 120,-
Pasir Ris,Loyang East,85 - 89,> 120,20
Pasir Ris,Loyang East,90 & Over,Total*,20
Pasir Ris,Loyang East,90 & Over,≤ 60,-
Pasir Ris,Loyang East,90 & Over,> 60 - 80,-
Pasir Ris,Loyang East,90 & Over,> 80 - 100,-
Pasir Ris,Loyang East,90 & Over,> 100 - 120,-
Pasir Ris,Loyang East,90 & Over,> 120,10
Pasir Ris,Loyang West,Total,Total*,540
Pasir Ris,Loyang West,Total,≤ 60,-
Pasir Ris,Loyang West,Total,> 60 - 80,-
Pasir Ris,Loyang West,Total,> 80 - 100,-
Pasir Ris,Loyang West,Total,> 100 - 120,-
Pasir Ris,Loyang West,Total,> 120,-
Pasir Ris,Loyang West,0 - 4,Total*,-
Pasir Ris,Loyang West,0 - 4,≤ 60,-
Pasir Ris,Loyang West,0 - 4,> 60 - 80,-
Pasir Ris,Loyang West,0 - 4,> 80 - 100,-
Pasir Ris,Loyang West,0 - 4,> 100 - 120,-
Pasir Ris,Loyang West,0 - 4,> 120,-
Pasir Ris,Loyang West,5 - 9,Total*,-
Pasir Ris,Loyang West,5 - 9,≤ 60,-
Pasir Ris,Loyang West,5 - 9,> 60 - 80,-
Pasir Ris,Loyang West,5 - 9,> 80 - 100,-
Pasir Ris,Loyang West,5 - 9,> 100 - 120,-
Pasir Ris,Loyang West,5 - 9,> 120,-
Pasir Ris,Loyang West,10 - 14,Total*,-
Pasir Ris,Loyang West,10 - 14,≤ 60,-
Pasir Ris,Loyang West,10 - 14,> 60 - 80,-
Pasir Ris,Loyang West,10 - 14,> 80 - 100,-
Pasir Ris,Loyang West,10 - 14,> 100 - 120,-
Pasir Ris,Loyang West,10 - 14,> 120,-
Pasir Ris,Loyang West,15 - 19,Total*,-
Pasir Ris,Loyang West,15 - 19,≤ 60,-
Pasir Ris,Loyang West,15 - 19,> 60 - 80,-
Pasir Ris,Loyang West,15 - 19,> 80 - 100,-
Pasir Ris,Loyang West,15 - 19,> 100 - 120,-
Pasir Ris,Loyang West,15 - 19,> 120,-
Pasir Ris,Loyang West,20 - 24,Total*,-
Pasir Ris,Loyang West,20 - 24,≤ 60,-
Pasir Ris,Loyang West,20 - 24,> 60 - 80,-
Pasir Ris,Loyang West,20 - 24,> 80 - 100,-
Pasir Ris,Loyang West,20 - 24,> 100 - 120,-
Pasir Ris,Loyang West,20 - 24,> 120,-
Pasir Ris,Loyang West,25 - 29,Total*,-
Pasir Ris,Loyang West,25 - 29,≤ 60,-
Pasir Ris,Loyang West,25 - 29,> 60 - 80,-
Pasir Ris,Loyang West,25 - 29,> 80 - 100,-
Pasir Ris,Loyang West,25 - 29,> 100 - 120,-
Pasir Ris,Loyang West,25 - 29,> 120,-
Pasir Ris,Loyang West,30 - 34,Total*,-
Pasir Ris,Loyang West,30 - 34,≤ 60,-
Pasir Ris,Loyang West,30 - 34,> 60 - 80,-
Pasir Ris,Loyang West,30 - 34,> 80 - 100,-
Pasir Ris,Loyang West,30 - 34,> 100 - 120,-
Pasir Ris,Loyang West,30 - 34,> 120,-
Pasir Ris,Loyang West,35 - 39,Total*,-
Pasir Ris,Loyang West,35 - 39,≤ 60,-
Pasir Ris,Loyang West,35 - 39,> 60 - 80,-
Pasir Ris,Loyang West,35 - 39,> 80 - 100,-
Pasir Ris,Loyang West,35 - 39,> 100 - 120,-
Pasir Ris,Loyang West,35 - 39,> 120,-
Pasir Ris,Loyang West,40 - 44,Total*,-
Pasir Ris,Loyang West,40 - 44,≤ 60,-
Pasir Ris,Loyang West,40 - 44,> 60 - 80,-
Pasir Ris,Loyang West,40 - 44,> 80 - 100,-
Pasir Ris,Loyang West,40 - 44,> 100 - 120,-
Pasir Ris,Loyang West,40 - 44,> 120,-
Pasir Ris,Loyang West,45 - 49,Total*,-
Pasir Ris,Loyang West,45 - 49,≤ 60,-
Pasir Ris,Loyang West,45 - 49,> 60 - 80,-
Pasir Ris,Loyang West,45 - 49,> 80 - 100,-
Pasir Ris,Loyang West,45 - 49,> 100 - 120,-
Pasir Ris,Loyang West,45 - 49,> 120,-
Pasir Ris,Loyang West,50 - 54,Total*,10
Pasir Ris,Loyang West,50 - 54,≤ 60,-
Pasir Ris,Loyang West,50 - 54,> 60 - 80,-
Pasir Ris,Loyang West,50 - 54,> 80 - 100,-
Pasir Ris,Loyang West,50 - 54,> 100 - 120,-
Pasir Ris,Loyang West,50 - 54,> 120,-
Pasir Ris,Loyang West,55 - 59,Total*,10
Pasir Ris,Loyang West,55 - 59,≤ 60,-
Pasir Ris,Loyang West,55 - 59,> 60 - 80,-
Pasir Ris,Loyang West,55 - 59,> 80 - 100,-
Pasir Ris,Loyang West,55 - 59,> 100 - 120,-
Pasir Ris,Loyang West,55 - 59,> 120,-
Pasir Ris,Loyang West,60 - 64,Total*,30
Pasir Ris,Loyang West,60 - 64,≤ 60,-
Pasir Ris,Loyang West,60 - 64,> 60 - 80,-
Pasir Ris,Loyang West,60 - 64,> 80 - 100,-
Pasir Ris,Loyang West,60 - 64,> 100 - 120,-
Pasir Ris,Loyang West,60 - 64,> 120,-
Pasir Ris,Loyang West,65 - 69,Total*,40
Pasir Ris,Loyang West,65 - 69,≤ 60,-
Pasir Ris,Loyang West,65 - 69,> 60 - 80,-
Pasir Ris,Loyang West,65 - 69,> 80 - 100,-
Pasir Ris,Loyang West,65 - 69,> 100 - 120,-
Pasir Ris,Loyang West,65 - 69,> 120,-
Pasir Ris,Loyang West,70 - 74,Total*,80
Pasir Ris,Loyang West,70 - 74,≤ 60,-
Pasir Ris,Loyang West,70 - 74,> 60 - 80,-
Pasir Ris,Loyang West,70 - 74,> 80 - 100,-
Pasir Ris,Loyang West,70 - 74,> 100 - 120,-
Pasir Ris,Loyang West,70 - 74,> 120,-
Pasir Ris,Loyang West,75 - 79,Total*,80
Pasir Ris,Loyang West,75 - 79,≤ 60,-
Pasir Ris,Loyang West,75 - 79,> 60 - 80,-
Pasir Ris,Loyang West,75 - 79,> 80 - 100,-
Pasir Ris,Loyang West,75 - 79,> 100 - 120,-
Pasir Ris,Loyang West,75 - 79,> 120,-
Pasir Ris,Loyang West,80 - 84,Total*,110
Pasir Ris,Loyang West,80 - 84,≤ 60,-
Pasir Ris,Loyang West,80 - 84,> 60 - 80,-
Pasir Ris,Loyang West,80 - 84,> 80 - 100,-
Pasir Ris,Loyang West,80 - 84,> 100 - 120,-
Pasir Ris,Loyang West,80 - 84,> 120,-
Pasir Ris,Loyang West,85 - 89,Total*,100
Pasir Ris,Loyang West,85 - 89,≤ 60,-
Pasir Ris,Loyang West,85 - 89,> 60 - 80,-
Pasir Ris,Loyang West,85 - 89,> 80 - 100,-
Pasir Ris,Loyang West,85 - 89,> 100 - 120,-
Pasir Ris,Loyang West,85 - 89,> 120,-
Pasir Ris,Loyang West,90 & Over,Total*,90
Pasir Ris,Loyang West,90 & Over,≤ 60,-
Pasir Ris,Loyang West,90 & Over,> 60 - 80,-
Pasir Ris,Loyang West,90 & Over,> 80 - 100,-
Pasir Ris,Loyang West,90 & Over,> 100 - 120,-
Pasir Ris,Loyang West,90 & Over,> 120,-
Pasir Ris,Pasir Ris Central,Total,Total*,31730
Pasir Ris,Pasir Ris Central,Total,≤ 60,780
Pasir Ris,Pasir Ris Central,Total,> 60 - 80,1670
Pasir Ris,Pasir Ris Central,Total,> 80 - 100,4790
Pasir Ris,Pasir Ris Central,Total,> 100 - 120,7250
Pasir Ris,Pasir Ris Central,Total,> 120,17240
Pasir Ris,Pasir Ris Central,0 - 4,Total*,1220
Pasir Ris,Pasir Ris Central,0 - 4,≤ 60,20
Pasir Ris,Pasir Ris Central,0 - 4,> 60 - 80,80
Pasir Ris,Pasir Ris Central,0 - 4,> 80 - 100,330
Pasir Ris,Pasir Ris Central,0 - 4,> 100 - 120,300
Pasir Ris,Pasir Ris Central,0 - 4,> 120,500
Pasir Ris,Pasir Ris Central,5 - 9,Total*,1620
Pasir Ris,Pasir Ris Central,5 - 9,≤ 60,10
Pasir Ris,Pasir Ris Central,5 - 9,> 60 - 80,80
Pasir Ris,Pasir Ris Central,5 - 9,> 80 - 100,410
Pasir Ris,Pasir Ris Central,5 - 9,> 100 - 120,390
Pasir Ris,Pasir Ris Central,5 - 9,> 120,730
Pasir Ris,Pasir Ris Central,10 - 14,Total*,1690
Pasir Ris,Pasir Ris Central,10 - 14,≤ 60,20
Pasir Ris,Pasir Ris Central,10 - 14,> 60 - 80,70
Pasir Ris,Pasir Ris Central,10 - 14,> 80 - 100,320
Pasir Ris,Pasir Ris Central,10 - 14,> 100 - 120,400
Pasir Ris,Pasir Ris Central,10 - 14,> 120,870
Pasir Ris,Pasir Ris Central,15 - 19,Total*,1650
Pasir Ris,Pasir Ris Central,15 - 19,≤ 60,30
Pasir Ris,Pasir Ris Central,15 - 19,> 60 - 80,50
Pasir Ris,Pasir Ris Central,15 - 19,> 80 - 100,160
Pasir Ris,Pasir Ris Central,15 - 19,> 100 - 120,370
Pasir Ris,Pasir Ris Central,15 - 19,> 120,1040
Pasir Ris,Pasir Ris Central,20 - 24,Total*,1950
Pasir Ris,Pasir Ris Central,20 - 24,≤ 60,30
Pasir Ris,Pasir Ris Central,20 - 24,> 60 - 80,60
Pasir Ris,Pasir Ris Central,20 - 24,> 80 - 100,160
Pasir Ris,Pasir Ris Central,20 - 24,> 100 - 120,460
Pasir Ris,Pasir Ris Central,20 - 24,> 120,1240
Pasir Ris,Pasir Ris Central,25 - 29,Total*,2480
Pasir Ris,Pasir Ris Central,25 - 29,≤ 60,40
Pasir Ris,Pasir Ris Central,25 - 29,> 60 - 80,70
Pasir Ris,Pasir Ris Central,25 - 29,> 80 - 100,240
Pasir Ris,Pasir Ris Central,25 - 29,> 100 - 120,570
Pasir Ris,Pasir Ris Central,25 - 29,> 120,1570
Pasir Ris,Pasir Ris Central,30 - 34,Total*,2440
Pasir Ris,Pasir Ris Central,30 - 34,≤ 60,60
Pasir Ris,Pasir Ris Central,30 - 34,> 60 - 80,160
Pasir Ris,Pasir Ris Central,30 - 34,> 80 - 100,430
Pasir Ris,Pasir Ris Central,30 - 34,> 100 - 120,540
Pasir Ris,Pasir Ris Central,30 - 34,> 120,1250
Pasir Ris,Pasir Ris Central,35 - 39,Total*,2320
Pasir Ris,Pasir Ris Central,35 - 39,≤ 60,70
Pasir Ris,Pasir Ris Central,35 - 39,> 60 - 80,200
Pasir Ris,Pasir Ris Central,35 - 39,> 80 - 100,650
Pasir Ris,Pasir Ris Central,35 - 39,> 100 - 120,550
Pasir Ris,Pasir Ris Central,35 - 39,> 120,850
Pasir Ris,Pasir Ris Central,40 - 44,Total*,2360
Pasir Ris,Pasir Ris Central,40 - 44,≤ 60,80
Pasir Ris,Pasir Ris Central,40 - 44,> 60 - 80,200
Pasir Ris,Pasir Ris Central,40 - 44,> 80 - 100,610
Pasir Ris,Pasir Ris Central,40 - 44,> 100 - 120,520
Pasir Ris,Pasir Ris Central,40 - 44,> 120,940
Pasir Ris,Pasir Ris Central,45 - 49,Total*,2260
Pasir Ris,Pasir Ris Central,45 - 49,≤ 60,70
Pasir Ris,Pasir Ris Central,45 - 49,> 60 - 80,160
Pasir Ris,Pasir Ris Central,45 - 49,> 80 - 100,440
Pasir Ris,Pasir Ris Central,45 - 49,> 100 - 120,550
Pasir Ris,Pasir Ris Central,45 - 49,> 120,1040
Pasir Ris,Pasir Ris Central,50 - 54,Total*,2240
Pasir Ris,Pasir Ris Central,50 - 54,≤ 60,50
Pasir Ris,Pasir Ris Central,50 - 54,> 60 - 80,150
Pasir Ris,Pasir Ris Central,50 - 54,> 80 - 100,310
Pasir Ris,Pasir Ris Central,50 - 54,> 100 - 120,500
Pasir Ris,Pasir Ris Central,50 - 54,> 120,1240
Pasir Ris,Pasir Ris Central,55 - 59,Total*,2660
Pasir Ris,Pasir Ris Central,55 - 59,≤ 60,60
Pasir Ris,Pasir Ris Central,55 - 59,> 60 - 80,120
Pasir Ris,Pasir Ris Central,55 - 59,> 80 - 100,250
Pasir Ris,Pasir Ris Central,55 - 59,> 100 - 120,640
Pasir Ris,Pasir Ris Central,55 - 59,> 120,1590
Pasir Ris,Pasir Ris Central,60 - 64,Total*,2640
Pasir Ris,Pasir Ris Central,60 - 64,≤ 60,70
Pasir Ris,Pasir Ris Central,60 - 64,> 60 - 80,90
Pasir Ris,Pasir Ris Central,60 - 64,> 80 - 100,210
Pasir Ris,Pasir Ris Central,60 - 64,> 100 - 120,600
Pasir Ris,Pasir Ris Central,60 - 64,> 120,1660
Pasir Ris,Pasir Ris Central,65 - 69,Total*,1820
Pasir Ris,Pasir Ris Central,65 - 69,≤ 60,80
Pasir Ris,Pasir Ris Central,65 - 69,> 60 - 80,60
Pasir Ris,Pasir Ris Central,65 - 69,> 80 - 100,130
Pasir Ris,Pasir Ris Central,65 - 69,> 100 - 120,360
Pasir Ris,Pasir Ris Central,65 - 69,> 120,1200
Pasir Ris,Pasir Ris Central,70 - 74,Total*,1110
Pasir Ris,Pasir Ris Central,70 - 74,≤ 60,40
Pasir Ris,Pasir Ris Central,70 - 74,> 60 - 80,50
Pasir Ris,Pasir Ris Central,70 - 74,> 80 - 100,70
Pasir Ris,Pasir Ris Central,70 - 74,> 100 - 120,220
Pasir Ris,Pasir Ris Central,70 - 74,> 120,740
Pasir Ris,Pasir Ris Central,75 - 79,Total*,620
Pasir Ris,Pasir Ris Central,75 - 79,≤ 60,30
Pasir Ris,Pasir Ris Central,75 - 79,> 60 - 80,30
Pasir Ris,Pasir Ris Central,75 - 79,> 80 - 100,40
Pasir Ris,Pasir Ris Central,75 - 79,> 100 - 120,120
Pasir Ris,Pasir Ris Central,75 - 79,> 120,390
Pasir Ris,Pasir Ris Central,80 - 84,Total*,370
Pasir Ris,Pasir Ris Central,80 - 84,≤ 60,20
Pasir Ris,Pasir Ris Central,80 - 84,> 60 - 80,30
Pasir Ris,Pasir Ris Central,80 - 84,> 80 - 100,20
Pasir Ris,Pasir Ris Central,80 - 84,> 100 - 120,90
Pasir Ris,Pasir Ris Central,80 - 84,> 120,210
Pasir Ris,Pasir Ris Central,85 - 89,Total*,200
Pasir Ris,Pasir Ris Central,85 - 89,≤ 60,10
Pasir Ris,Pasir Ris Central,85 - 89,> 60 - 80,10
Pasir Ris,Pasir Ris Central,85 - 89,> 80 - 100,10
Pasir Ris,Pasir Ris Central,85 - 89,> 100 - 120,40
Pasir Ris,Pasir Ris Central,85 - 89,> 120,130
Pasir Ris,Pasir Ris Central,90 & Over,Total*,110
Pasir Ris,Pasir Ris Central,90 & Over,≤ 60,10
Pasir Ris,Pasir Ris Central,90 & Over,> 60 - 80,10
Pasir Ris,Pasir Ris Central,90 & Over,> 80 - 100,10
Pasir Ris,Pasir Ris Central,90 & Over,> 100 - 120,20
Pasir Ris,Pasir Ris Central,90 & Over,> 120,70
Pasir Ris,Pasir Ris Drive,Total,Total*,51680
Pasir Ris,Pasir Ris Drive,Total,≤ 60,690
Pasir Ris,Pasir Ris Drive,Total,> 60 - 80,-
Pasir Ris,Pasir Ris Drive,Total,> 80 - 100,720
Pasir Ris,Pasir Ris Drive,Total,> 100 - 120,20950
Pasir Ris,Pasir Ris Drive,Total,> 120,29280
Pasir Ris,Pasir Ris Drive,0 - 4,Total*,1650
Pasir Ris,Pasir Ris Drive,0 - 4,≤ 60,10
Pasir Ris,Pasir Ris Drive,0 - 4,> 60 - 80,-
Pasir Ris,Pasir Ris Drive,0 - 4,> 80 - 100,20
Pasir Ris,Pasir Ris Drive,0 - 4,> 100 - 120,680
Pasir Ris,Pasir Ris Drive,0 - 4,> 120,950
Pasir Ris,Pasir Ris Drive,5 - 9,Total*,1850
Pasir Ris,Pasir Ris Drive,5 - 9,≤ 60,10
Pasir Ris,Pasir Ris Drive,5 - 9,> 60 - 80,-
Pasir Ris,Pasir Ris Drive,5 - 9,> 80 - 100,20
Pasir Ris,Pasir Ris Drive,5 - 9,> 100 - 120,680
Pasir Ris,Pasir Ris Drive,5 - 9,> 120,1150
Pasir Ris,Pasir Ris Drive,10 - 14,Total*,2140
Pasir Ris,Pasir Ris Drive,10 - 14,≤ 60,10
Pasir Ris,Pasir Ris Drive,10 - 14,> 60 - 80,-
Pasir Ris,Pasir Ris Drive,10 - 14,> 80 - 100,30
Pasir Ris,Pasir Ris Drive,10 - 14,> 100 - 120,770
Pasir Ris,Pasir Ris Drive,10 - 14,> 120,1330
Pasir Ris,Pasir Ris Drive,15 - 19,Total*,2630
Pasir Ris,Pasir Ris Drive,15 - 19,≤ 60,30
Pasir Ris,Pasir Ris Drive,15 - 19,> 60 - 80,-
Pasir Ris,Pasir Ris Drive,15 - 19,> 80 - 100,30
